canonical_smiles,standard_value,mol
B.CP(c1ccccc1)c1ccc(O)cc1,9800.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84906D0>
B.Oc1ccc(P(c2ccccc2)c2ccccc2)cc1,12000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490740>
Br.C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21,2000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84907B0>
BrC1=CN2NC(c3cc4ccccc4n3Cc3ccccc3)=NC2N=C1,539.18,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490820>
Brc1ccc(-c2nnc(-c3cccnc3)c3conc23)cc1,6621.2,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490890>
Brc1ccc2[nH]c(-c3cc4ccccc4[nH]3)nc2c1,80.36,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490900>
Brc1ccc2[nH]c(-c3cc4ccccc4n3Cc3ccccc3)nc2c1,73.61,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490970>
Brc1ccccc1-c1nnc(CSc2nnnn2-c2ccccc2)o1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84909E0>
Brc1cnc2[nH]c(-c3cc4ccccc4n3Cc3ccccc3)nc2c1,300.43,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490A50>
C#CCN(c1ccc(C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)cc1)C1CCc2cc3nc(CO)[nH]c(=O)c3cc21,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490AC0>
C#CCN1CC(Oc2cc(F)c([C@@H]3c4[nH]c5ccccc5c4C[C@@H](C)N3CC(C)(C)F)c(F)c2)C1,0.083,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490B30>
C#CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,4643.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490BA0>
C#C[C@]1(O)CCC2C3CC=C4C[C@@H](O)CC[C@]4(C=C)C3CC[C@@]21C,147.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490C10>
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C=C(C)CC[C@]4(C=C)[C@H]3CC[C@@]21C,1850.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490C80>
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C=C)[C@H]3CC[C@@]21C,150.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490CF0>
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,808.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490D60>
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,17790.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490DD0>
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,2.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8490E40>
